Hotel Name,Restaurant Name,Airline,Hotel Price,Flight Price,Restaurant Price,Review,Rating
Taj Krishna,Paradise Biryani,IndiGo,5785,6758,683,Best hotel experience ever!,3
ITC Kakatiya,Bawarchi,Air India,9244,4481,1387,"Very comfortable stay, highly recommended.",2
The Park Hyderabad,Chutneys,SpiceJet,14951,10783,636,Clean rooms and friendly staff.,2
Novotel Hyderabad,Ohri's 70mm,Vistara,7750,11638,2321,"Not worth the price, disappointing.",5
Marriott Hotel,Rayalaseema Ruchulu,GoAir,8384,8794,750,"Too noisy, couldn't sleep well.",5
Trident Hyderabad,Dakshin,IndiGo,3549,6478,2420,Food was delicious but service was slow.,3
Lemon Tree Premier,Minerva Coffee Shop,Air India,8150,4744,2158,"Average experience, could be better.",1
Radisson Blu Plaza,Karachi Bakery,SpiceJet,3531,8358,663,"Great location, will visit again.",3
Mercure Hyderabad,Cafe Bahar,Vistara,10766,9717,942,Excellent service and great food!,5
Avasa Hotel,KFC,GoAir,13133,7593,2197,"Average experience, could be better.",1
Taj Krishna,Paradise Biryani,IndiGo,10395,8332,1276,"Too noisy, couldn't sleep well.",1
ITC Kakatiya,Bawarchi,Air India,6468,11878,764,Best hotel experience ever!,2
The Park Hyderabad,Chutneys,SpiceJet,3451,11704,656,Excellent service and great food!,2
Novotel Hyderabad,Ohri's 70mm,Vistara,4022,10804,2103,Best hotel experience ever!,3
Marriott Hotel,Rayalaseema Ruchulu,GoAir,8151,5820,907,"Average experience, could be better.",4
Trident Hyderabad,Dakshin,IndiGo,3627,11846,1877,"Average experience, could be better.",5
Lemon Tree Premier,Minerva Coffee Shop,Air India,3494,6319,1020,"Too noisy, couldn't sleep well.",4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,10679,8944,1992,"Great location, will visit again.",3
Mercure Hyderabad,Cafe Bahar,Vistara,4880,7292,979,"Too noisy, couldn't sleep well.",3
Avasa Hotel,KFC,GoAir,4612,11995,2035,"Very comfortable stay, highly recommended.",3
Taj Krishna,Paradise Biryani,IndiGo,3100,9137,1145,Best hotel experience ever!,1
ITC Kakatiya,Bawarchi,Air India,6607,10186,688,Excellent service and great food!,4
The Park Hyderabad,Chutneys,SpiceJet,6609,7223,1819,"Very comfortable stay, highly recommended.",3
Novotel Hyderabad,Ohri's 70mm,Vistara,13998,9650,1389,"Average experience, could be better.",4
Marriott Hotel,Rayalaseema Ruchulu,GoAir,3664,8806,1452,"Not worth the price, disappointing.",4
Trident Hyderabad,Dakshin,IndiGo,3203,6849,1312,Clean rooms and friendly staff.,2
Lemon Tree Premier,Minerva Coffee Shop,Air India,4204,9167,1263,"Not worth the price, disappointing.",4
Radisson Blu Plaza,Karachi Bakery,SpiceJet,5529,11191,2189,"Very comfortable stay, highly recommended.",1
Mercure Hyderabad,Cafe Bahar,Vistara,6501,5311,2353,"Great location, will visit again.",5
Avasa Hotel,KFC,GoAir,8945,6050,996,Food was delicious but service was slow.,3
Taj Krishna,Paradise Biryani,IndiGo,5291,10759,1202,"Average experience, could be better.",3
ITC Kakatiya,Bawarchi,Air India,13077,11556,1416,Clean rooms and friendly staff.,1
The Park Hyderabad,Chutneys,SpiceJet,7260,8167,2224,"Great location, will visit again.",5
Novotel Hyderabad,Ohri's 70mm,Vistara,11899,4665,1620,"Average experience, could be better.",4
Marriott Hotel,Rayalaseema Ruchulu,GoAir,5185,5435,2046,Clean rooms and friendly staff.,4
Trident Hyderabad,Dakshin,IndiGo,3715,10802,2363,Loved the ambiance and hospitality!,4
Lemon Tree Premier,Minerva Coffee Shop,Air India,10978,10230,1170,"Too noisy, couldn't sleep well.",1
Radisson Blu Plaza,Karachi Bakery,SpiceJet,9810,11609,877,"Average experience, could be better.",1
Mercure Hyderabad,Cafe Bahar,Vistara,3900,7652,1503,Loved the ambiance and hospitality!,5
Avasa Hotel,KFC,GoAir,11589,9177,625,"Very comfortable stay, highly recommended.",1
Taj Krishna,Paradise Biryani,IndiGo,3101,5822,1566,"Not worth the price, disappointing.",4
ITC Kakatiya,Bawarchi,Air India,10622,10457,2271,Clean rooms and friendly staff.,1
The Park Hyderabad,Chutneys,SpiceJet,8767,8639,2254,"Average experience, could be better.",3
Novotel Hyderabad,Ohri's 70mm,Vistara,13619,10519,1248,Excellent service and great food!,2
Marriott Hotel,Rayalaseema Ruchulu,GoAir,12794,11416,1393,"Not worth the price, disappointing.",2
Trident Hyderabad,Dakshin,IndiGo,12520,9195,2063,Food was delicious but service was slow.,1
Lemon Tree Premier,Minerva Coffee Shop,Air India,5330,5454,1532,Best hotel experience ever!,1
Radisson Blu Plaza,Karachi Bakery,SpiceJet,11867,4540,2125,"Average experience, could be better.",1
Mercure Hyderabad,Cafe Bahar,Vistara,11233,9477,2027,Loved the ambiance and hospitality!,5
Avasa Hotel,KFC,GoAir,7792,8187,1576,Clean rooms and friendly staff.,2
Taj Krishna,Paradise Biryani,IndiGo,13518,7845,1018,"Not worth the price, disappointing.",4
ITC Kakatiya,Bawarchi,Air India,11356,4477,2015,"Very comfortable stay, highly recommended.",1
The Park Hyderabad,Chutneys,SpiceJet,7262,4850,1728,Best hotel experience ever!,1
